city,country,x3,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x33,x36,x38,x39,x41,x47,x48,x49,x50,x51,x52,x53,x54,x55,country_name,continent_name,wage_span,median_salary,average_salary,lowest_salary,highest_salary,Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Suphan Buri,Thailand,5.18,1.65,1.91,1.45,2.0,16.97,2.02,12.16,2.02,1.41,1.93,1.53,1.15,0.89,1.19,0.4,1.21,76.16,15.46,34.56,7.63,96.88,226.18833333333336,100.8,844.6761538461535,443.67678571428576,2507.3847368421057,1441.5809999999997,345.61,5.0,Thailand,Asia,Monthly,2432.28,2662.11,670.31,11846.79,124.0,Thailand,43.21,14.69,29.84,45.15,22.59,31.56
Ennis,Ireland,8.69,1.08,2.11,1.37,2.74,4.21,5.27,4.74,1.05,1.05,1.05,1.05,2.28,1.05,0.93,1.14,1.91,147.52,44.78,49.316842105263156,9.48,68.49,895.68,843.0,1369.87,1369.87,3711.626666666667,2834.021666666667,2423.61,3.7,Ireland,Europe,Monthly,3021.14,3399.58,856.24,15151.16,57.0,Ireland,76.05,42.08,60.13,62.1,80.4,82.27
Decatur,United States,6.0,0.68,1.64,1.65,2.98,12.21,10.47,16.15,5.15,1.58,3.15,3.78,1.84,2.08,1.66,2.06,1.39,163.78,62.56,41.40092833876223,7.5,95.95,875.0,560.0,1005.0,810.0,3702.987788461537,2821.9793931398435,2773.0,5.59,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Heredia,Costa Rica,7.27,1.18,1.13,1.04,2.3,6.5,7.34,8.86,3.11,1.03,2.69,1.43,1.58,1.75,0.79,1.97,1.17,54.21,51.67,45.33,5.85,71.86,374.8,245.09,672.06,480.44,1452.51,1136.34,747.04,10.4,Costa Rica,Central America,Monthly,4016.06,4427.01,1115.16,19613.34,28.0,Costa Rica,47.01,14.7,31.87,45.54,41.69,39.88
Tipasa,Algeria,5.06,0.76,0.18,0.96,1.3,4.46,3.62,8.86,1.79,2.28,0.92,0.55,0.48,0.3,0.45,0.27,0.32,43.76,45.81,15.114482758620689,7.23,33.75,134.97035714285713,96.47962962962963,239.68964285714281,166.36777777777775,947.0557894736845,616.6336842105262,264.30249999999995,6.3726666666666665,Algeria,Africa,Monthly,1148.84,1308.81,330.11,5824.18,3.0,Algeria,26.87,4.59,16.43,28.82,14.48,24.63
Laurel,United States,8.0,0.9,3.3,4.48,1.99,10.04,13.21,11.02,4.98,1.83,2.48,4.43,1.96,2.58,1.5,1.75,1.09,163.26,64.12,28.99,13.0,103.17,2000.0,1600.0,2618.0,2272.5,1753.12,2091.32,3978.667886597939,5.72,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Visby,Sweden,8.62,1.1,2.42,2.71,2.73,10.89,13.56,14.53,2.66,2.32,2.18,2.57,1.26,1.07,1.94,1.16,1.84,40.24,25.79,48.42,9.68,109.75,726.31,459.99,1307.35,750.52,5675.74,2916.446500000001,2421.03,2.0,Sweden,Europe,Monthly,3568.16,4144.56,1043.0,18389.75,119.0,Sweden,71.74,25.86,50.23,65.78,72.61,98.14
El Cerrito,United States,5.0,1.65,4.4,4.15810714285713,6.49,24.23,18.72,28.66,8.81,1.96,8.81,4.448635824436533,2.7976583034647553,4.39,1.7897724550898224,2.0,1.56,450.0,55.0,150.0,14.38,130.0,2250.0,1300.0,6000.0,3250.0,3702.987788461537,2821.9793931398435,7000.0,5.25,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Palm Springs,United States,9.76,1.17,4.13,3.12,4.16,10.39,16.52,20.93,4.41,1.97,3.95,5.71,2.77,3.15,1.55,1.4,1.58,362.73,68.83,36.67,13.5,166.25,1733.33,1400.0,3125.0,2366.67,5328.14,2583.34,4000.0,5.29,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
South Bradenton,United States,8.0,1.08,3.25,4.58,3.68,13.83,10.89,16.25,4.84,1.57,3.76,3.91,2.74,2.61,2.03,1.68,1.15,156.41,74.52,20.0,12.25,91.25,1521.67,1321.67,1800.0,1800.0,1923.19,2821.9793931398435,3000.0,5.4,United States,Northern America,Monthly,6966.0,7925.0,2000.0,35250.0,132.0,United States,70.13,42.07,56.98,70.37,70.07,106.34
Truro,United Kingdom,7.38,1.22,1.32,1.97,3.24,7.32,6.46,7.38,2.03,1.35,1.82,2.32,1.54,1.14,1.08,0.96,1.95,220.06,54.43,38.95,10.46,71.75,1014.75,884.06,1517.0,1353.0,3971.88,4898.66,2105.35,4.17,United Kingdom,Europe,Monthly,6300.0,7235.37,1829.27,32214.63,131.0,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78
Vukovar,Croatia,4.19,0.92,0.92,1.28,1.86,5.58,6.05,8.14,1.3,1.31,1.07,1.81,0.47,0.67,0.63,0.98,1.55,125.64,25.13,36.198,4.89,48.86,104.7,83.76,139.6,97.72,2323.308125,1739.3712500000001,867.1628571428572,5.5,Croatia,Europe,Monthly,1935.48,2089.76,527.35,9298.74,29.0,Croatia,48.94,13.38,32.27,41.98,41.29,47.55
